CP_NAME,UNIT,STATE,VALUE
CP #314 | Brush Management  | (Acres),Ac,Maryland,750
CP #584 | Channel Bed Stabilization  | (Feet),Ft,Florida,0
CP #587 | Structure for Water Control  | (Num.),Num,Florida,0
CP #590 | Nutrient Management (IRA) | (Acres),Ac,Florida,0
CP #595 | Pest Management Conservation System  | (Acres),Ac,Florida,0
CP #612 | Tree/Shrub Establishment (IRA) | (Acres),Ac,Florida,8000
CP #614 | Watering Facility  | (Num.),Num,Florida,0
CP #642 | Water Well  | (Num.),Num,Florida,0
CP #643 | Restoration of Rare and Declining Habitats | (Acres),Ac,Florida,0
CP #644 | Wetland Wildlife Habitat Management  | (Acres),Ac,Florida,0
CP #646 | Shallow Water Development and Management  | (Acres),Ac,Florida,0
CP #649 | Structures for Wildlife  | (Num.),Num,Florida,0
CP #657 | Wetland Restoration (IRA) | (Acres),Ac,Florida,0
CP #658 | Wetland Creation  | (Acres),Ac,Florida,0
CP #659 | Wetland Enhancement  | (Acres),Ac,Florida,0
CP #666 | Forest Stand Improvement (IRA) | (Acres),Ac,Florida,8000
CP #314 | Brush Management  | (Acres),Ac,Delaware,0
CP #315 | Herbaceous Weed Treatment  | (Acres),Ac,Delaware,4700
CP #327 | Conservation Cover (IRA) | (Acres),Ac,Delaware,0
CP #328 | Conservation Crop Rotation (IRA) | (Acres),Ac,Delaware,0
CP #329 | Residue and Tillage Mgmt (No Till) (IRA) | (Acres),Ac,Delaware,0
CP #338 | Prescribed Burning (IRA) | (Acres),Ac,Delaware,0
CP #340 | Cover Crop (IRA) | (Acres),Ac,Delaware,0
CP #342 | Critical Area Planting (IRA) | (Acres),Ac,Delaware,30
CP #345 | Residue and Tillage Mgmt (Reduced Till) (IRA) | (Acres),Ac,Delaware,0
CP #356 | Dike and Levee  | (Feet),Ft,Delaware,30000
CP #362 | Diversion  | (Feet),Ft,Delaware,0
CP #378 | Pond  | (Num.),Num,Delaware,3
CP #382 | Fence  | (Feet),Ft,Delaware,0
CP #386 | Field Border (IRA) | (Acres),Ac,Delaware,0
CP #390 | Riparian Herbaceous Cover (IRA) | (Acres),Ac,Delaware,0
CP #391 | Riparian Forest Buffer (IRA) | (Acres),Ac,Delaware,0
CP #395 | Stream Habitat Improvement and Management  | (Acres),Ac,Delaware,0
CP #396 | Aquatic Organism Passage  | (Miles),Miles,Delaware,0
CP #410 | Grade Stabilization Structure  | (Num.),Num,Delaware,0
CP #412 | Grassed Waterway (IRA) | (Acres),Ac,Delaware,0
CP #420 | Wildlife Habitat Planting (IRA) | (Acres),Ac,Delaware,0
CP #441 | Micro-irrigation | (Acres),Ac,Delaware,0
CP #442 | Sprinkler system  | (Acres),Ac,Delaware,0
CP #468 | Lined waterway or outlet  | (Feet),Ft,Delaware,3000
CP #472 | Access Control  | (Acres),Ac,Delaware,0
CP #484 | Mulching (IRA) | (Acres),Ac,Delaware,30
CP #490 | Tree/Shrub Site Preparation  | (Acres),Ac,Delaware,0
CP #512 | Pasture and Hay Planting  | (Acres),Ac,Delaware,0
CP #516 | Livestock Pipeline  | (Feet),Ft,Delaware,0
CP #528 | Prescribed Grazing (IRA) | (Acres),Ac,Delaware,0
CP #533 | Pumping Plant  | (Num.),Num,Delaware,0
CP #550 | Range planting (IRA) | (Acres),Ac,Delaware,0
CP #554 | Drainage Water Management | (Acres),Ac,Delaware,0
CP #561 | Heavy Use Area Protection  | (Sq. Ft.),sq ft,Delaware,0
CP #574 | Spring Development  | (Num.),Num,Delaware,0
CP #578 | Stream Crossing  | (Num.),Num,Delaware,0
CP #580 | Streambank and Shoreline Protection  | (Feet),Ft,Delaware,0
CP #584 | Channel Bed Stabilization  | (Feet),Ft,Delaware,0
CP #587 | Structure for Water Control  | (Num.),Num,Delaware,30
CP #590 | Nutrient Management (IRA) | (Acres),Ac,Delaware,0
CP #595 | Pest Management Conservation System  | (Acres),Ac,Delaware,0
CP #612 | Tree/Shrub Establishment (IRA) | (Acres),Ac,Delaware,0
CP #614 | Watering Facility  | (Num.),Num,Delaware,0
CP #642 | Water Well  | (Num.),Num,Delaware,0
CP #643 | Restoration of Rare and Declining Habitats | (Acres),Ac,Delaware,0
CP #644 | Wetland Wildlife Habitat Management  | (Acres),Ac,Delaware,0
CP #646 | Shallow Water Development and Management  | (Acres),Ac,Delaware,2
CP #649 | Structures for Wildlife  | (Num.),Num,Delaware,0
CP #657 | Wetland Restoration (IRA) | (Acres),Ac,Delaware,3
CP #658 | Wetland Creation  | (Acres),Ac,Delaware,2
CP #659 | Wetland Enhancement  | (Acres),Ac,Delaware,2
CP #666 | Forest Stand Improvement (IRA) | (Acres),Ac,Delaware,0
CP #314 | Brush Management  | (Acres),Ac,Tennessee,0
CP #315 | Herbaceous Weed Treatment  | (Acres),Ac,Tennessee,0
CP #327 | Conservation Cover (IRA) | (Acres),Ac,Tennessee,0
CP #328 | Conservation Crop Rotation (IRA) | (Acres),Ac,Tennessee,0
CP #329 | Residue and Tillage Mgmt (No Till) (IRA) | (Acres),Ac,Tennessee,0
CP #338 | Prescribed Burning (IRA) | (Acres),Ac,Tennessee,0
CP #340 | Cover Crop (IRA) | (Acres),Ac,Tennessee,0
CP #342 | Critical Area Planting (IRA) | (Acres),Ac,Tennessee,0
CP #345 | Residue and Tillage Mgmt (Reduced Till) (IRA) | (Acres),Ac,Tennessee,0
CP #356 | Dike and Levee  | (Feet),Ft,Tennessee,0
CP #362 | Diversion  | (Feet),Ft,Tennessee,0
CP #378 | Pond  | (Num.),Num,Tennessee,0
CP #382 | Fence  | (Feet),Ft,Tennessee,193000
CP #386 | Field Border (IRA) | (Acres),Ac,Tennessee,0
CP #390 | Riparian Herbaceous Cover (IRA) | (Acres),Ac,Tennessee,0
CP #391 | Riparian Forest Buffer (IRA) | (Acres),Ac,Tennessee,250
CP #395 | Stream Habitat Improvement and Management  | (Acres),Ac,Tennessee,0
CP #396 | Aquatic Organism Passage  | (Miles),Miles,Tennessee,0
CP #410 | Grade Stabilization Structure  | (Num.),Num,Tennessee,0
CP #412 | Grassed Waterway (IRA) | (Acres),Ac,Tennessee,0
CP #420 | Wildlife Habitat Planting (IRA) | (Acres),Ac,Tennessee,0
CP #441 | Micro-irrigation | (Acres),Ac,Tennessee,0
CP #442 | Sprinkler system  | (Acres),Ac,Tennessee,0
CP #468 | Lined waterway or outlet  | (Feet),Ft,Tennessee,0
CP #472 | Access Control  | (Acres),Ac,Tennessee,190
CP #484 | Mulching (IRA) | (Acres),Ac,Tennessee,0
CP #490 | Tree/Shrub Site Preparation  | (Acres),Ac,Tennessee,0
CP #512 | Pasture and Hay Planting  | (Acres),Ac,Tennessee,0
CP #516 | Livestock Pipeline  | (Feet),Ft,Tennessee,0
CP #528 | Prescribed Grazing (IRA) | (Acres),Ac,Tennessee,0
CP #533 | Pumping Plant  | (Num.),Num,Tennessee,0
CP #550 | Range planting (IRA) | (Acres),Ac,Tennessee,0
CP #554 | Drainage Water Management | (Acres),Ac,Tennessee,0
CP #561 | Heavy Use Area Protection  | (Sq. Ft.),sq ft,Tennessee,0
CP #574 | Spring Development  | (Num.),Num,Tennessee,0
CP #578 | Stream Crossing  | (Num.),Num,Tennessee,70
CP #580 | Streambank and Shoreline Protection  | (Feet),Ft,Tennessee,40000
CP #584 | Channel Bed Stabilization  | (Feet),Ft,Tennessee,0
CP #587 | Structure for Water Control  | (Num.),Num,Tennessee,0
CP #590 | Nutrient Management (IRA) | (Acres),Ac,Tennessee,0
CP #595 | Pest Management Conservation System  | (Acres),Ac,Tennessee,0
CP #612 | Tree/Shrub Establishment (IRA) | (Acres),Ac,Tennessee,0
CP #614 | Watering Facility  | (Num.),Num,Tennessee,0
CP #642 | Water Well  | (Num.),Num,Tennessee,0
CP #643 | Restoration of Rare and Declining Habitats | (Acres),Ac,Tennessee,0
CP #644 | Wetland Wildlife Habitat Management  | (Acres),Ac,Tennessee,0
CP #646 | Shallow Water Development and Management  | (Acres),Ac,Tennessee,0
CP #649 | Structures for Wildlife  | (Num.),Num,Tennessee,0
CP #657 | Wetland Restoration (IRA) | (Acres),Ac,Tennessee,0
CP #658 | Wetland Creation  | (Acres),Ac,Tennessee,0
CP #659 | Wetland Enhancement  | (Acres),Ac,Tennessee,0
CP #666 | Forest Stand Improvement (IRA) | (Acres),Ac,Tennessee,0
CP #314 | Brush Management  | (Acres),Ac,North Carolina,0
CP #315 | Herbaceous Weed Treatment  | (Acres),Ac,North Carolina,150
CP #327 | Conservation Cover (IRA) | (Acres),Ac,North Carolina,0
CP #328 | Conservation Crop Rotation (IRA) | (Acres),Ac,North Carolina,0
CP #329 | Residue and Tillage Mgmt (No Till) (IRA) | (Acres),Ac,North Carolina,0
CP #338 | Prescribed Burning (IRA) | (Acres),Ac,North Carolina,0
CP #340 | Cover Crop (IRA) | (Acres),Ac,North Carolina,945
CP #342 | Critical Area Planting (IRA) | (Acres),Ac,North Carolina,0
CP #345 | Residue and Tillage Mgmt (Reduced Till) (IRA) | (Acres),Ac,North Carolina,0
CP #356 | Dike and Levee  | (Feet),Ft,North Carolina,0
CP #362 | Diversion  | (Feet),Ft,North Carolina,0
CP #378 | Pond  | (Num.),Num,North Carolina,0
CP #382 | Fence  | (Feet),Ft,North Carolina,0
CP #386 | Field Border (IRA) | (Acres),Ac,North Carolina,55
CP #390 | Riparian Herbaceous Cover (IRA) | (Acres),Ac,North Carolina,0
CP #391 | Riparian Forest Buffer (IRA) | (Acres),Ac,North Carolina,14
CP #395 | Stream Habitat Improvement and Management  | (Acres),Ac,North Carolina,14
CP #396 | Aquatic Organism Passage  | (Miles),Miles,North Carolina,0
CP #410 | Grade Stabilization Structure  | (Num.),Num,North Carolina,0
CP #412 | Grassed Waterway (IRA) | (Acres),Ac,North Carolina,0
CP #420 | Wildlife Habitat Planting (IRA) | (Acres),Ac,North Carolina,32
CP #441 | Micro-irrigation | (Acres),Ac,North Carolina,0
CP #442 | Sprinkler system  | (Acres),Ac,North Carolina,0
CP #468 | Lined waterway or outlet  | (Feet),Ft,North Carolina,0
CP #472 | Access Control  | (Acres),Ac,North Carolina,0
CP #484 | Mulching (IRA) | (Acres),Ac,North Carolina,0
CP #490 | Tree/Shrub Site Preparation  | (Acres),Ac,North Carolina,0
CP #512 | Pasture and Hay Planting  | (Acres),Ac,North Carolina,0
CP #516 | Livestock Pipeline  | (Feet),Ft,North Carolina,0
CP #528 | Prescribed Grazing (IRA) | (Acres),Ac,North Carolina,115
CP #533 | Pumping Plant  | (Num.),Num,North Carolina,0
CP #550 | Range planting (IRA) | (Acres),Ac,North Carolina,0
CP #554 | Drainage Water Management | (Acres),Ac,North Carolina,200
CP #561 | Heavy Use Area Protection  | (Sq. Ft.),sq ft,North Carolina,0
CP #574 | Spring Development  | (Num.),Num,North Carolina,0
CP #578 | Stream Crossing  | (Num.),Num,North Carolina,0
CP #580 | Streambank and Shoreline Protection  | (Feet),Ft,North Carolina,7000
CP #584 | Channel Bed Stabilization  | (Feet),Ft,North Carolina,0
CP #587 | Structure for Water Control  | (Num.),Num,North Carolina,32
CP #590 | Nutrient Management (IRA) | (Acres),Ac,North Carolina,0
CP #595 | Pest Management Conservation System  | (Acres),Ac,North Carolina,0
CP #612 | Tree/Shrub Establishment (IRA) | (Acres),Ac,North Carolina,0
CP #614 | Watering Facility  | (Num.),Num,North Carolina,0
CP #642 | Water Well  | (Num.),Num,North Carolina,0
CP #643 | Restoration of Rare and Declining Habitats | (Acres),Ac,North Carolina,12
CP #644 | Wetland Wildlife Habitat Management  | (Acres),Ac,North Carolina,0
CP #646 | Shallow Water Development and Management  | (Acres),Ac,North Carolina,0
CP #649 | Structures for Wildlife  | (Num.),Num,North Carolina,0
CP #657 | Wetland Restoration (IRA) | (Acres),Ac,North Carolina,0
CP #658 | Wetland Creation  | (Acres),Ac,North Carolina,0
CP #659 | Wetland Enhancement  | (Acres),Ac,North Carolina,0
CP #666 | Forest Stand Improvement (IRA) | (Acres),Ac,North Carolina,450
CP #314 | Brush Management  | (Acres),Ac,New Jersey,50
CP #315 | Herbaceous Weed Treatment  | (Acres),Ac,New Jersey,50
CP #327 | Conservation Cover (IRA) | (Acres),Ac,New Jersey,0
CP #328 | Conservation Crop Rotation (IRA) | (Acres),Ac,New Jersey,0
CP #329 | Residue and Tillage Mgmt (No Till) (IRA) | (Acres),Ac,New Jersey,0
CP #338 | Prescribed Burning (IRA) | (Acres),Ac,New Jersey,0
CP #340 | Cover Crop (IRA) | (Acres),Ac,New Jersey,0
CP #342 | Critical Area Planting (IRA) | (Acres),Ac,New Jersey,0
CP #345 | Residue and Tillage Mgmt (Reduced Till) (IRA) | (Acres),Ac,New Jersey,0
CP #356 | Dike and Levee  | (Feet),Ft,New Jersey,0
CP #362 | Diversion  | (Feet),Ft,New Jersey,0
CP #378 | Pond  | (Num.),Num,New Jersey,0
CP #382 | Fence  | (Feet),Ft,New Jersey,0
CP #386 | Field Border (IRA) | (Acres),Ac,New Jersey,0
CP #390 | Riparian Herbaceous Cover (IRA) | (Acres),Ac,New Jersey,0
CP #391 | Riparian Forest Buffer (IRA) | (Acres),Ac,New Jersey,0
CP #395 | Stream Habitat Improvement and Management  | (Acres),Ac,New Jersey,30
CP #396 | Aquatic Organism Passage  | (Miles),Miles,New Jersey,10
CP #410 | Grade Stabilization Structure  | (Num.),Num,New Jersey,5
CP #412 | Grassed Waterway (IRA) | (Acres),Ac,New Jersey,0
CP #420 | Wildlife Habitat Planting (IRA) | (Acres),Ac,New Jersey,10
CP #441 | Micro-irrigation | (Acres),Ac,New Jersey,0
CP #442 | Sprinkler system  | (Acres),Ac,New Jersey,0
CP #468 | Lined waterway or outlet  | (Feet),Ft,New Jersey,0
CP #472 | Access Control  | (Acres),Ac,New Jersey,0
CP #484 | Mulching (IRA) | (Acres),Ac,New Jersey,0
CP #490 | Tree/Shrub Site Preparation  | (Acres),Ac,New Jersey,0
CP #512 | Pasture and Hay Planting  | (Acres),Ac,New Jersey,0
CP #516 | Livestock Pipeline  | (Feet),Ft,New Jersey,0
CP #528 | Prescribed Grazing (IRA) | (Acres),Ac,New Jersey,0
CP #533 | Pumping Plant  | (Num.),Num,New Jersey,0
CP #550 | Range planting (IRA) | (Acres),Ac,New Jersey,0
CP #554 | Drainage Water Management | (Acres),Ac,New Jersey,0
CP #561 | Heavy Use Area Protection  | (Sq. Ft.),sq ft,New Jersey,0
CP #574 | Spring Development  | (Num.),Num,New Jersey,0
CP #578 | Stream Crossing  | (Num.),Num,New Jersey,0
CP #580 | Streambank and Shoreline Protection  | (Feet),Ft,New Jersey,250
CP #584 | Channel Bed Stabilization  | (Feet),Ft,New Jersey,0
CP #587 | Structure for Water Control  | (Num.),Num,New Jersey,5
CP #590 | Nutrient Management (IRA) | (Acres),Ac,New Jersey,0
CP #595 | Pest Management Conservation System  | (Acres),Ac,New Jersey,0
CP #612 | Tree/Shrub Establishment (IRA) | (Acres),Ac,New Jersey,25
CP #614 | Watering Facility  | (Num.),Num,New Jersey,0
CP #642 | Water Well  | (Num.),Num,New Jersey,0
CP #643 | Restoration of Rare and Declining Habitats | (Acres),Ac,New Jersey,0
CP #644 | Wetland Wildlife Habitat Management  | (Acres),Ac,New Jersey,0
CP #646 | Shallow Water Development and Management  | (Acres),Ac,New Jersey,0
CP #649 | Structures for Wildlife  | (Num.),Num,New Jersey,25
CP #657 | Wetland Restoration (IRA) | (Acres),Ac,New Jersey,50
CP #658 | Wetland Creation  | (Acres),Ac,New Jersey,0
CP #659 | Wetland Enhancement  | (Acres),Ac,New Jersey,75
CP #666 | Forest Stand Improvement (IRA) | (Acres),Ac,New Jersey,0
CP #314 | Brush Management  | (Acres),Ac,Alabama,0
CP #315 | Herbaceous Weed Treatment  | (Acres),Ac,Alabama,1250
CP #327 | Conservation Cover (IRA) | (Acres),Ac,Alabama,0
CP #328 | Conservation Crop Rotation (IRA) | (Acres),Ac,Alabama,0
CP #329 | Residue and Tillage Mgmt (No Till) (IRA) | (Acres),Ac,Alabama,0
CP #338 | Prescribed Burning (IRA) | (Acres),Ac,Alabama,0
CP #340 | Cover Crop (IRA) | (Acres),Ac,Alabama,4000
CP #342 | Critical Area Planting (IRA) | (Acres),Ac,Alabama,0
CP #345 | Residue and Tillage Mgmt (Reduced Till) (IRA) | (Acres),Ac,Alabama,0
CP #356 | Dike and Levee  | (Feet),Ft,Alabama,0
CP #362 | Diversion  | (Feet),Ft,Alabama,0
CP #378 | Pond  | (Num.),Num,Alabama,0
CP #382 | Fence  | (Feet),Ft,Alabama,100000
CP #386 | Field Border (IRA) | (Acres),Ac,Alabama,0
CP #390 | Riparian Herbaceous Cover (IRA) | (Acres),Ac,Alabama,0
CP #391 | Riparian Forest Buffer (IRA) | (Acres),Ac,Alabama,10
CP #395 | Stream Habitat Improvement and Management  | (Acres),Ac,Alabama,0
CP #396 | Aquatic Organism Passage  | (Miles),Miles,Alabama,0
CP #410 | Grade Stabilization Structure  | (Num.),Num,Alabama,0
CP #412 | Grassed Waterway (IRA) | (Acres),Ac,Alabama,0
CP #420 | Wildlife Habitat Planting (IRA) | (Acres),Ac,Alabama,0
CP #441 | Micro-irrigation | (Acres),Ac,Alabama,0
CP #442 | Sprinkler system  | (Acres),Ac,Alabama,0
CP #468 | Lined waterway or outlet  | (Feet),Ft,Alabama,0
CP #472 | Access Control  | (Acres),Ac,Alabama,0
CP #484 | Mulching (IRA) | (Acres),Ac,Alabama,0
CP #490 | Tree/Shrub Site Preparation  | (Acres),Ac,Alabama,1010
CP #512 | Pasture and Hay Planting  | (Acres),Ac,Alabama,250
CP #516 | Livestock Pipeline  | (Feet),Ft,Alabama,0
CP #528 | Prescribed Grazing (IRA) | (Acres),Ac,Alabama,0
CP #533 | Pumping Plant  | (Num.),Num,Alabama,0
CP #550 | Range planting (IRA) | (Acres),Ac,Alabama,0
CP #554 | Drainage Water Management | (Acres),Ac,Alabama,0
CP #561 | Heavy Use Area Protection  | (Sq. Ft.),sq ft,Alabama,6000
CP #574 | Spring Development  | (Num.),Num,Alabama,0
CP #578 | Stream Crossing  | (Num.),Num,Alabama,20
CP #580 | Streambank and Shoreline Protection  | (Feet),Ft,Alabama,300
CP #584 | Channel Bed Stabilization  | (Feet),Ft,Alabama,0
CP #587 | Structure for Water Control  | (Num.),Num,Alabama,0
CP #590 | Nutrient Management (IRA) | (Acres),Ac,Alabama,1000
CP #595 | Pest Management Conservation System  | (Acres),Ac,Alabama,0
CP #612 | Tree/Shrub Establishment (IRA) | (Acres),Ac,Alabama,1000
CP #614 | Watering Facility  | (Num.),Num,Alabama,0
CP #642 | Water Well  | (Num.),Num,Alabama,0
CP #643 | Restoration of Rare and Declining Habitats | (Acres),Ac,Alabama,0
CP #644 | Wetland Wildlife Habitat Management  | (Acres),Ac,Alabama,0
CP #646 | Shallow Water Development and Management  | (Acres),Ac,Alabama,0
CP #649 | Structures for Wildlife  | (Num.),Num,Alabama,0
CP #657 | Wetland Restoration (IRA) | (Acres),Ac,Alabama,0
CP #658 | Wetland Creation  | (Acres),Ac,Alabama,0
CP #659 | Wetland Enhancement  | (Acres),Ac,Alabama,0
CP #666 | Forest Stand Improvement (IRA) | (Acres),Ac,Alabama,0
CP #314 | Brush Management  | (Acres),Ac,Louisiana,0
CP #315 | Herbaceous Weed Treatment  | (Acres),Ac,Louisiana,0
CP #327 | Conservation Cover (IRA) | (Acres),Ac,Louisiana,0
CP #328 | Conservation Crop Rotation (IRA) | (Acres),Ac,Louisiana,0
CP #329 | Residue and Tillage Mgmt (No Till) (IRA) | (Acres),Ac,Louisiana,0
CP #338 | Prescribed Burning (IRA) | (Acres),Ac,Louisiana,0
CP #340 | Cover Crop (IRA) | (Acres),Ac,Louisiana,0
CP #342 | Critical Area Planting (IRA) | (Acres),Ac,Louisiana,0
CP #345 | Residue and Tillage Mgmt (Reduced Till) (IRA) | (Acres),Ac,Louisiana,0
CP #356 | Dike and Levee  | (Feet),Ft,Louisiana,0
CP #362 | Diversion  | (Feet),Ft,Louisiana,0
CP #378 | Pond  | (Num.),Num,Louisiana,0
CP #382 | Fence  | (Feet),Ft,Louisiana,0
CP #386 | Field Border (IRA) | (Acres),Ac,Louisiana,0
CP #390 | Riparian Herbaceous Cover (IRA) | (Acres),Ac,Louisiana,0
CP #391 | Riparian Forest Buffer (IRA) | (Acres),Ac,Louisiana,0
CP #395 | Stream Habitat Improvement and Management  | (Acres),Ac,Louisiana,0
CP #396 | Aquatic Organism Passage  | (Miles),Miles,Louisiana,0
CP #410 | Grade Stabilization Structure  | (Num.),Num,Louisiana,0
CP #412 | Grassed Waterway (IRA) | (Acres),Ac,Louisiana,0
CP #420 | Wildlife Habitat Planting (IRA) | (Acres),Ac,Louisiana,0
CP #441 | Micro-irrigation | (Acres),Ac,Louisiana,0
CP #442 | Sprinkler system  | (Acres),Ac,Louisiana,0
CP #468 | Lined waterway or outlet  | (Feet),Ft,Louisiana,0
CP #472 | Access Control  | (Acres),Ac,Louisiana,0
CP #484 | Mulching (IRA) | (Acres),Ac,Louisiana,0
CP #490 | Tree/Shrub Site Preparation  | (Acres),Ac,Louisiana,0
CP #512 | Pasture and Hay Planting  | (Acres),Ac,Louisiana,0
CP #516 | Livestock Pipeline  | (Feet),Ft,Louisiana,0
CP #528 | Prescribed Grazing (IRA) | (Acres),Ac,Louisiana,0
CP #533 | Pumping Plant  | (Num.),Num,Louisiana,0
CP #550 | Range planting (IRA) | (Acres),Ac,Louisiana,0
CP #554 | Drainage Water Management | (Acres),Ac,Louisiana,0
CP #561 | Heavy Use Area Protection  | (Sq. Ft.),sq ft,Louisiana,0
CP #574 | Spring Development  | (Num.),Num,Louisiana,0
CP #578 | Stream Crossing  | (Num.),Num,Louisiana,0
CP #580 | Streambank and Shoreline Protection  | (Feet),Ft,Louisiana,0
CP #584 | Channel Bed Stabilization  | (Feet),Ft,Louisiana,0
CP #587 | Structure for Water Control  | (Num.),Num,Louisiana,0
CP #590 | Nutrient Management (IRA) | (Acres),Ac,Louisiana,0
CP #595 | Pest Management Conservation System  | (Acres),Ac,Louisiana,0
CP #612 | Tree/Shrub Establishment (IRA) | (Acres),Ac,Louisiana,0
CP #614 | Watering Facility  | (Num.),Num,Louisiana,0
CP #642 | Water Well  | (Num.),Num,Louisiana,0
CP #643 | Restoration of Rare and Declining Habitats | (Acres),Ac,Louisiana,0
CP #644 | Wetland Wildlife Habitat Management  | (Acres),Ac,Louisiana,33100
CP #646 | Shallow Water Development and Management  | (Acres),Ac,Louisiana,3490
CP #647 | Early Successional Habitat Development | (Acres),Ac,Louisiana,17125
CP #649 | Structures for Wildlife  | (Num.),Num,Louisiana,0
CP #657 | Wetland Restoration (IRA) | (Acres),Ac,Louisiana,0
CP #658 | Wetland Creation  | (Acres),Ac,Louisiana,0
CP #659 | Wetland Enhancement  | (Acres),Ac,Louisiana,0
CP #666 | Forest Stand Improvement (IRA) | (Acres),Ac,Louisiana,0
CP #314 | Brush Management  | (Acres),Ac,Arkansas,0
CP #315 | Herbaceous Weed Treatment  | (Acres),Ac,Arkansas,0
CP #327 | Conservation Cover (IRA) | (Acres),Ac,Arkansas,0
CP #328 | Conservation Crop Rotation (IRA) | (Acres),Ac,Arkansas,0
CP #329 | Residue and Tillage Mgmt (No Till) (IRA) | (Acres),Ac,Arkansas,0
CP #338 | Prescribed Burning (IRA) | (Acres),Ac,Arkansas,0
CP #340 | Cover Crop (IRA) | (Acres),Ac,Arkansas,0
CP #342 | Critical Area Planting (IRA) | (Acres),Ac,Arkansas,0
CP #345 | Residue and Tillage Mgmt (Reduced Till) (IRA) | (Acres),Ac,Arkansas,0
CP #356 | Dike and Levee  | (Feet),Ft,Arkansas,0
CP #362 | Diversion  | (Feet),Ft,Arkansas,0
CP #378 | Pond  | (Num.),Num,Arkansas,0
CP #382 | Fence  | (Feet),Ft,Arkansas,26400
CP #386 | Field Border (IRA) | (Acres),Ac,Arkansas,0
CP #390 | Riparian Herbaceous Cover (IRA) | (Acres),Ac,Arkansas,50
CP #391 | Riparian Forest Buffer (IRA) | (Acres),Ac,Arkansas,50
CP #395 | Stream Habitat Improvement and Management  | (Acres),Ac,Arkansas,150
CP #396 | Aquatic Organism Passage  | (Miles),Miles,Arkansas,50
CP #410 | Grade Stabilization Structure  | (Num.),Num,Arkansas,25
CP #412 | Grassed Waterway (IRA) | (Acres),Ac,Arkansas,0
CP #420 | Wildlife Habitat Planting (IRA) | (Acres),Ac,Arkansas,0
CP #441 | Micro-irrigation | (Acres),Ac,Arkansas,0
CP #442 | Sprinkler system  | (Acres),Ac,Arkansas,0
CP #468 | Lined waterway or outlet  | (Feet),Ft,Arkansas,0
CP #472 | Access Control  | (Acres),Ac,Arkansas,0
CP #484 | Mulching (IRA) | (Acres),Ac,Arkansas,0
CP #490 | Tree/Shrub Site Preparation  | (Acres),Ac,Arkansas,0
CP #512 | Pasture and Hay Planting  | (Acres),Ac,Arkansas,0
CP #516 | Livestock Pipeline  | (Feet),Ft,Arkansas,26400
CP #528 | Prescribed Grazing (IRA) | (Acres),Ac,Arkansas,0
CP #533 | Pumping Plant  | (Num.),Num,Arkansas,0
CP #550 | Range planting (IRA) | (Acres),Ac,Arkansas,0
CP #554 | Drainage Water Management | (Acres),Ac,Arkansas,0
CP #561 | Heavy Use Area Protection  | (Sq. Ft.),sq ft,Arkansas,20000
CP #574 | Spring Development  | (Num.),Num,Arkansas,0
CP #578 | Stream Crossing  | (Num.),Num,Arkansas,50
CP #580 | Streambank and Shoreline Protection  | (Feet),Ft,Arkansas,26400
CP #584 | Channel Bed Stabilization  | (Feet),Ft,Arkansas,0
CP #587 | Structure for Water Control  | (Num.),Num,Arkansas,25
CP #590 | Nutrient Management (IRA) | (Acres),Ac,Arkansas,0
CP #595 | Pest Management Conservation System  | (Acres),Ac,Arkansas,0
CP #612 | Tree/Shrub Establishment (IRA) | (Acres),Ac,Arkansas,50
CP #614 | Watering Facility  | (Num.),Num,Arkansas,50
CP #642 | Water Well  | (Num.),Num,Arkansas,0
CP #643 | Restoration of Rare and Declining Habitats | (Acres),Ac,Arkansas,0
CP #644 | Wetland Wildlife Habitat Management  | (Acres),Ac,Arkansas,0
CP #646 | Shallow Water Development and Management  | (Acres),Ac,Arkansas,0
CP #649 | Structures for Wildlife  | (Num.),Num,Arkansas,0
CP #657 | Wetland Restoration (IRA) | (Acres),Ac,Arkansas,0
CP #658 | Wetland Creation  | (Acres),Ac,Arkansas,0
CP #659 | Wetland Enhancement  | (Acres),Ac,Arkansas,0
CP #666 | Forest Stand Improvement (IRA) | (Acres),Ac,Arkansas,0
